"Table: carreras"
id_carrera,nombre,fecha,id_circuito
1,"Bahrain Grand Prix",2024-03-03,1
2,"Saudi Arabian Grand Prix",2024-03-17,2
3,"Australian Grand Prix",2024-03-31,3
4,"Azerbaijan Grand Prix",2024-04-28,4
5,"Miami Grand Prix",2024-05-05,5
6,"Emilia Romagna Grand Prix",2024-05-19,6
7,"Monaco Grand Prix",2024-05-26,7
8,"Spanish Grand Prix",2024-06-09,8
9,"Canadian Grand Prix",2024-06-16,9
10,"Austrian Grand Prix",2024-06-30,10
11,"British Grand Prix",2024-07-07,11
12,"Hungarian Grand Prix",2024-07-21,12
13,"Belgian Grand Prix",2024-07-28,13
14,"Dutch Grand Prix",2024-08-25,14
15,"Italian Grand Prix",2024-09-01,15
16,"Singapore Grand Prix",2024-09-15,16
17,"Japanese Grand Prix",2024-09-22,17
18,"Qatar Grand Prix",2024-10-06,18
19,"United States Grand Prix",2024-10-20,19
20,"Mexico City Grand Prix",2024-10-27,20
21,"São Paulo Grand Prix",2024-11-03,21
22,"Las Vegas Grand Prix",2024-11-17,22
23,"Abu Dhabi Grand Prix",2024-11-24,23
"Table: circuitos"
id_circuito,nombre,ubicacion
1,"Bahrain International Circuit","Sakhir, Bahrain"
2,"Jeddah Street Circuit","Jeddah, Saudi Arabia"
3,"Albert Park Circuit","Melbourne, Australia"
4,"Baku City Circuit","Baku, Azerbaijan"
5,"Miami International Autodrome","Miami, USA"
6,"Imola Circuit","Imola, Italy"
7,"Circuit de Monaco","Monaco, Monaco"
8,"Circuit de Barcelona-Catalunya","Barcelona, Spain"
9,"Circuit Gilles Villeneuve","Montreal, Canada"
10,"Red Bull Ring","Spielberg, Austria"
11,"Silverstone Circuit","Silverstone, UK"
12,Hungaroring,"Budapest, Hungary"
13,Spa-Francorchamps,"Stavelot, Belgium"
14,"Zandvoort Circuit","Zandvoort, Netherlands"
15,"Monza Circuit","Monza, Italy"
16,"Marina Bay Street Circuit","Singapore, Singapore"
17,"Suzuka Circuit","Suzuka, Japan"
18,"Losail International Circuit","Losail, Qatar"
19,"Circuit of the Americas","Austin, USA"
20,"Autódromo Hermanos Rodríguez","Mexico City, Mexico"
21,Interlagos,"São Paulo, Brazil"
22,"Las Vegas Street Circuit","Las Vegas, USA"
23,"Yas Marina Circuit","Abu Dhabi, UAE"
"Table: equipos"
id_equipo,nombre,fundacion,pais
1,"Scuderia Ferrari",1929,Italy
"Table: pilotos"
id_piloto,nombre,apellidos,fecha_nacimiento,nacionalidad,id_equipo
1,Charles,Leclerc,1997-10-16,Monaco,1
"Table: resultados"
id_resultado,id_carrera,id_piloto,posicion,puntos
1,1,1,2,18.00
2,2,1,3,15.00
3,3,1,6,8.00
4,4,1,4,12.00
5,5,1,2,18.00
6,6,1,3,15.00
7,7,1,1,25.00
8,8,1,7,6.00
9,9,1,5,10.00
10,10,1,2,18.00
11,11,1,4,12.00
12,12,1,3,15.00
13,13,1,5,10.00
14,14,1,1,25.00
15,15,1,4,12.00
16,16,1,3,15.00
17,17,1,2,18.00
18,18,1,1,25.00
19,19,1,5,10.00
20,20,1,6,8.00
21,21,1,2,18.00
22,22,1,4,12.00
23,23,1,3,15.00
